"","RMSE","correlation"
"mcar_10",0.541,0.979
"mcar_25",143312884.64,0.168
"mcar_40",0.548,0.978
"mnar_30",1.376,0.871
"mnar_50",1.343,0.882
"mcar_path",0.317,0.942
"mnar_path",0.655,0.899
